"master_id","last_session_date","total_sessions","avg_session_duration_min","pages_per_session","add_to_cart_rate","purchase_conversion_rate","most_viewed_category","preferred_channel","last_campaign_click"
"4da5c2ba-403b-11ea-aa6b-000d3a38a36f","2020-07-10","7","9.2","2.9","0.33","0.02","Clothing","web","Instagram Ads"
"7b289956-d691-11e9-93bc-000d3a38a36f","2020-10-03","42","4.4","7.7","0.16","0.07","Sportswear","web","SMS Push"
"1a9b39d8-40ac-11ea-9be8-000d3a38a36f","2020-06-09","40","12","5.7","0.31","0.18","Accessories","mobile_app","Email Newsletter"
"4fbb0cbe-9085-11ea-af25-000d3a38a36f","2021-04-04","24","10.1","7.4","0.05","0.027867537224235","Accessories","instore","None"
"d1fabf76-7171-11eb-a3e2-000d3a38a36f","2020-11-09","14","14","8.8","0.25","0.25","Bags","mobile_app","Google Ads"
"6ff327d4-b0e1-11e9-9757-000d3a38a36f","2020-01-22","50","5.2","5.3","0.15","0.111074798883","Bags","web","Instagram Ads"
"7e7732ae-2d78-11eb-8062-000d3a299ebf","2020-09-09","5","10","4.5","0.31","0.17","Bags","web","SMS Push"
"c1f8f878-9f35-11e9-9897-000d3a38a36f","2021-04-19","46","7.9","4","0.4","0.18","Bags","mobile_app","SMS Push"
"5e1830d8-9e24-11e9-9897-000d3a38a36f","2020-02-28","54","3.6","6","0.24","0.11","Shoes","mobile_app","Google Ads"
"a46cc34a-a19f-11e9-a2fc-000d3a38a36f","2021-05-25","57","8.3","3.2","0.24","0.24","Shoes","web","Google Ads"
"1618f596-130a-11ea-a001-000d3a38a36f","2021-04-20","22","9.7","6.7","0.39","0.16","Sportswear","mobile_app","SMS Push"
"c864868a-5134-11ea-99ba-000d3a38a36f","2020-07-08","58","13.9","6.8","0.18","0.01","Shoes","instore","Google Ads"
"57b22f66-d6a3-11e9-93bc-000d3a38a36f","2020-08-31","22","6.5","6.8","0.19","0.09","Clothing","mobile_app","None"
"fb840306-1219-11ea-a001-000d3a38a36f","2021-05-19","10","9.4","2.6","0.29","0.04","Shoes","instore","None"
"1acf7870-87af-11ea-ace9-000d3a38a36f","2020-05-10","26","8.9","8.4","0.22","0.07","Bags","web","Email Newsletter"
"7a52fd46-5be8-11ea-a7c9-000d3a38a36f","2021-04-29","15","7.5","6.3","0.32","0.15","Sportswear","mobile_app","None"
"196e721a-d6d9-11e9-93bc-000d3a38a36f","2020-01-21","38","7.7","5.1","0.19","0.12","Accessories","mobile_app","Google Ads"
"3551e96c-5b40-11ea-8e0b-000d3a38a36f","2020-06-15","41","10.2","7.3","0.29","0.12","Clothing","web","None"
"80c89c7a-d6dd-11e9-93bc-000d3a38a36f","2020-09-30","42","7.7","7.3","0.32","0.11","Clothing","mobile_app","Email Newsletter"
"280cd78c-f324-11e9-9346-000d3a38a36f","2021-01-22","55","7.3","3.7","0.27","0.06","Accessories","web","None"
"6e47c6c2-4f49-11ea-99ba-000d3a38a36f","2020-11-11","49","6.5","5.9","0.12","0.04","Accessories","web","Instagram Ads"
"6a46e618-16f8-11ea-b4ec-000d3a38a36f","2020-01-14","1","3.5","4.8","0.23","0.11","Bags","mobile_app","Email Newsletter"
"1e6a5e78-7a8a-11ea-8f20-000d3a38a36f","2020-08-29","14","10.8","5.2","0.39","0.07","Shoes","web","Email Newsletter"
"6e19617c-f068-11ea-bde9-000d3a38a36f","2020-12-11","36","6.4","7","0.09","0.08","Shoes","email","SMS Push"
"a9acbdcc-a872-11e9-a2fc-000d3a38a36f","2020-12-05","31","11.7","4.3","0.3","0.04","Clothing","instore","Email Newsletter"
"d45e704c-b13c-11e9-9757-000d3a38a36f","2020-04-01","28","11.8","7.1","0.33","0.2","Shoes","instore","SMS Push"
"45b1d028-1da7-11ea-8bf2-000d3a38a36f","2021-01-01","34","15.2","4.1","0.29","0.02","Shoes","web","Instagram Ads"
"09797cba-5b4a-11ea-8975-000d3a38a36f","2021-03-30","35","9.3","8.4","0.09","0.068332620993732","Accessories","web","Email Newsletter"
"1eb32dea-a409-11e9-a2fc-000d3a38a36f","2021-03-03","39","9.7","4.7","0.08","0.045856557277461","Accessories","mobile_app","Instagram Ads"
"6925c836-ab8b-11e9-a2fc-000d3a38a36f","2021-05-23","23","9.8","10.6","0.23","0.02","Accessories","instore","Google Ads"
"c109302c-f72c-11ea-a533-000d3a38a36f","2020-02-04","46","8.8","7.6","0.16","0.13989669525549","Accessories","mobile_app","Email Newsletter"
"c7cd4332-20bb-11ea-97c9-000d3a38a36f","2020-07-24","44","11.5","5.6","0.19","0.15","Shoes","mobile_app","Google Ads"
"d875bb04-4539-11ea-acaf-000d3a38a36f","2020-03-21","19","7.8","4.1","0.15","0.12931930103146","Accessories","mobile_app","Google Ads"
"cc7a587e-3110-11ea-b884-000d3a38a36f","2021-01-22","18","9.7","7","0.34","0.15","Accessories","mobile_app","SMS Push"
"e7fa4114-e7cc-11e9-8bb8-000d3a38a36f","2020-01-02","15","7.7","8","0.35","0.07","Sportswear","web","Instagram Ads"
"59fe5f5c-b1c2-11e9-89fa-000d3a38a36f","2021-01-24","1","4.1","7.2","0.06","0.036477401817896","Bags","mobile_app","Email Newsletter"
"92a334ee-58f2-11eb-9e65-000d3a38a36f","2020-04-15","25","10.2","4.8","0.33","0.25","Sportswear","instore","None"
"12f0df54-accc-11e9-a2fc-000d3a38a36f","2021-04-21","26","1","8.9","0.29","0.2","Shoes","web","Email Newsletter"
"a0133918-1d60-11ea-a490-000d3a38a36f","2021-02-05","35","9.6","6.6","0.21","0.21","Accessories","web","Email Newsletter"
"5366d676-5403-11eb-9e65-000d3a38a36f","2020-06-10","57","11.3","4.7","0.08","0.07","Shoes","mobile_app","SMS Push"
"07ddfcfe-2590-11ea-b1c8-000d3a38a36f","2020-07-20","15","9.8","10.4","0.28","0.2","Clothing","mobile_app","Google Ads"
"b4e68f92-a534-11e9-a2fc-000d3a38a36f","2020-09-26","4","5.6","7.3","0.14","0.09","Shoes","email","Instagram Ads"
"fa4d1ac8-abd9-11e9-a2fc-000d3a38a36f","2020-09-27","15","12.6","6.8","0.24","0.09","Sportswear","mobile_app","None"
"6ece7c1c-4594-11ea-acaf-000d3a38a36f","2021-03-31","42","13.4","5","0.13","0.09","Sportswear","web","Email Newsletter"
"15fa60d6-9eb1-11e9-9897-000d3a38a36f","2021-04-06","38","10","5.9","0.36","0.04","Bags","mobile_app","Email Newsletter"
"83c57128-1eea-11ea-81ff-000d3a38a36f","2020-09-08","45","13.6","4.4","0.17","0.03","Accessories","web","SMS Push"
"bb548d60-abb6-11e9-a2fc-000d3a38a36f","2020-10-22","39","14.4","6.4","0.29","0.18","Sportswear","mobile_app","Instagram Ads"
"9e060288-2eed-11ea-8467-000d3a38a36f","2020-12-03","58","6.1","7.1","0.22","0.13","Sportswear","instore","None"
"444de882-b067-11e9-9757-000d3a38a36f","2020-02-22","54","5.3","2.1","0.37","0.2","Shoes","mobile_app","Google Ads"
"89cbf714-a6d0-11e9-a2fc-000d3a38a36f","2020-08-04","1","10.2","3.4","0.13","0.097934215797716","Clothing","mobile_app","Instagram Ads"
"3af86bfe-5459-11ea-b1db-000d3a38a36f","2020-07-06","22","1","4.2","0.38","0.09","Accessories","mobile_app","Email Newsletter"
"9c5d4960-5bd8-11ea-9ccc-000d3a38a36f","2021-01-14","11","7.3","3","0.31","0.04","Bags","email","Google Ads"
"6fcc04d0-3050-11ea-bb28-000d3a38a36f","2021-05-07","46","6","4.3","0.3","0.08","Bags","web","SMS Push"
"eb648a26-a56e-11e9-a2fc-000d3a38a36f","2020-02-10","38","7.4","8.9","0.34","0.14","Clothing","mobile_app","None"
"8423eda8-ae37-11e9-a2fc-000d3a38a36f","2020-06-05","37","4.3","8.3","0.28","0.2","Clothing","mobile_app","SMS Push"
"af94d3c0-b199-11e9-89fa-000d3a38a36f","2020-01-15","51","7.5","4.8","0.09","0.050343882978742","Bags","mobile_app","None"
"7d58deb6-62fa-11ea-a6dc-000d3a38a36f","2020-03-05","26","9.8","7.1","0.29","0.15","Clothing","mobile_app","Google Ads"
"45beaf52-add9-11e9-a2fc-000d3a38a36f","2021-06-04","51","13.2","3.7","0.2","0.14","Sportswear","mobile_app","Google Ads"
"56ddd00a-aff6-11e9-9757-000d3a38a36f","2020-12-09","27","9.4","9.9","0.24","0.06","Sportswear","web","Email Newsletter"
"a5fc6ee6-a257-11e9-a2fc-000d3a38a36f","2020-05-08","58","2.7","5.6","0.19","0.12","Shoes","email","SMS Push"
"b4f0a6e6-ae60-11e9-a2fc-000d3a38a36f","2021-04-16","13","8.2","2","0.11","0.067430637824869","Shoes","mobile_app","Email Newsletter"
"af28d808-9750-11ea-a9c8-000d3a38a36f","2020-03-03","7","12.3","10.5","0.22","0.02","Shoes","mobile_app","Instagram Ads"
"6d57890e-9f67-11eb-9c47-000d3a38a36f","2020-05-18","8","7.4","5.4","0.07","0.051178454358409","Clothing","mobile_app","Email Newsletter"
"7bb4c782-a450-11e9-a2fc-000d3a38a36f","2021-05-13","46","10.1","10.1","0.07","0.056385634755922","Bags","mobile_app","Google Ads"
"4a1ecbbc-5271-11ea-956d-000d3a38a36f","2021-01-26","51","11.6","7.8","0.24","0.23","Accessories","mobile_app","Instagram Ads"
"d8f47744-a595-11e9-a2fc-000d3a38a36f","2021-02-22","51","8.5","6.6","0.11","0.093239540223739","Sportswear","mobile_app","Instagram Ads"
"2c5e69e8-ae6b-11e9-a2fc-000d3a38a36f","2020-10-15","23","9.1","2.3","0.27","0.06","Bags","mobile_app","Email Newsletter"
"0efc89ac-9f16-11e9-9897-000d3a38a36f","2021-01-13","26","9.8","6.2","0.12","0.10093445847358","Bags","mobile_app","SMS Push"
"8c92d204-1eb4-11ea-aa32-000d3a38a36f","2021-05-04","44","6.8","2.9","0.33","0.04","Bags","mobile_app","None"
"bfc40df8-3068-11ea-bb28-000d3a38a36f","2020-08-18","55","7.4","5.3","0.1","0.09","Bags","web","None"
"de493b6c-a35b-11e9-a2fc-000d3a38a36f","2020-02-10","27","5.4","6.3","0.21","0.11","Clothing","mobile_app","Email Newsletter"
"808005da-a511-11e9-a2fc-000d3a38a36f","2020-01-28","9","6.5","8.7","0.21","0.06","Sportswear","web","Email Newsletter"
"cae701dc-d621-11e9-93bc-000d3a38a36f","2020-05-14","46","10.4","4.8","0.27","0.22","Bags","web","SMS Push"
"acff824a-1dc3-11ea-8bf2-000d3a38a36f","2020-07-19","38","9.6","10.3","0.19","0.19","Accessories","web","Email Newsletter"
"4e24ed86-9e9e-11e9-9897-000d3a38a36f","2020-02-02","47","4.6","2.9","0.28","0.18","Bags","mobile_app","Instagram Ads"
"bac9d616-a837-11e9-a2fc-000d3a38a36f","2020-02-17","13","5.1","4.4","0.32","0.23","Clothing","web","Email Newsletter"
"4e18b218-5650-11ea-b9b9-000d3a38a36f","2021-05-17","7","6.3","6.4","0.09","0.076071317365708","Clothing","mobile_app","SMS Push"
"5261c16e-9c93-11ea-a27a-000d3a38a36f","2021-02-10","11","3.8","1.3","0.08","0.060969276931111","Accessories","email","SMS Push"
"20a9824c-ab17-11e9-a2fc-000d3a38a36f","2020-04-08","10","8.8","3.6","0.29","0.04","Accessories","instore","SMS Push"
"9c328802-a6ce-11e9-a2fc-000d3a38a36f","2021-06-30","33","6.1","6.9","0.35","0.21","Shoes","mobile_app","SMS Push"
"b74c85fa-43a0-11eb-806e-000d3a38a36f","2021-04-06","39","9.5","7.9","0.22","0.18","Shoes","web","None"
"72b33428-f9a1-11ea-9564-000d3a38a36f","2020-01-05","50","11","4","0.27","0.16","Shoes","mobile_app","SMS Push"
"f9adaeba-bbb5-11ea-a0c9-000d3a38a36f","2020-08-05","55","3","4.9","0.15","0.099022740562686","Sportswear","mobile_app","None"
"8b607a4a-abae-11e9-a2fc-000d3a38a36f","2021-05-17","3","6.1","7","0.36","0.19","Shoes","instore","Google Ads"
"861090c6-a923-11e9-a2fc-000d3a38a36f","2021-02-01","41","3.4","2.5","0.32","0.19","Bags","mobile_app","SMS Push"
"41272966-a0cc-11e9-a2fc-000d3a38a36f","2021-01-27","29","2.5","5.6","0.26","0.12","Shoes","web","Instagram Ads"
"bd2305fe-6051-11ea-8dd8-000d3a38a36f","2020-07-25","37","9.6","5.5","0.16","0.14","Clothing","web","SMS Push"
"fdb7846a-319d-11ea-9c9f-000d3a38a36f","2020-01-15","55","8.6","9.5","0.2","0.2","Accessories","email","Instagram Ads"
"5bc87a7c-9de8-11e9-9897-000d3a38a36f","2021-04-05","56","6.3","7.1","0.15","0.088090996729798","Clothing","mobile_app","Email Newsletter"
"804e7e88-18fd-11ea-9213-000d3a38a36f","2020-08-28","45","5.1","6","0.2","0.13","Accessories","instore","Email Newsletter"
"215ed4a8-a595-11e9-a2fc-000d3a38a36f","2020-04-05","16","4.8","7.5","0.07","0.058292329186641","Clothing","web","None"
"36c7a90a-a0f9-11e9-a2fc-000d3a38a36f","2021-04-29","16","8.5","6.4","0.09","0.046969799010114","Bags","instore","Instagram Ads"
"63695372-a1c7-11e9-a2fc-000d3a38a36f","2021-02-10","44","7.3","4.1","0.13","0.11","Clothing","web","Instagram Ads"
"1f65610c-526b-11ea-956d-000d3a38a36f","2020-08-18","50","5.3","7.4","0.37","0.2","Accessories","web","Email Newsletter"
"c9c3e8aa-9aa8-11ea-9fd8-000d3a38a36f","2020-06-19","43","9.3","7.7","0.21","0.05","Sportswear","mobile_app","Email Newsletter"
"552c4978-ace8-11e9-a2fc-000d3a38a36f","2021-06-24","49","8.8","5.4","0.22","0.12","Accessories","mobile_app","SMS Push"
"ef770b48-e155-11e9-957d-000d3a38a36f","2020-02-05","7","5.1","6.4","0.24","0.15","Accessories","web","None"
"88667a54-1311-11ea-a001-000d3a38a36f","2021-06-08","15","6.6","9.9","0.23","0.18","Accessories","mobile_app","Instagram Ads"
"c51201f2-1155-11ea-8872-000d3a38a36f","2020-06-08","38","10.6","6.4","0.08","0.056320824291784","Accessories","instore","Google Ads"
"a7ab666a-ae60-11e9-a2fc-000d3a38a36f","2020-08-30","6","10.2","5.6","0.16","0.05","Clothing","web","Google Ads"
"b050a646-2254-11ea-8523-000d3a38a36f","2020-03-26","18","6","4","0.07","0.04370052468918","Shoes","mobile_app","None"
"7fcbeba8-a8a0-11e9-a2fc-000d3a38a36f","2020-01-28","19","13","4.2","0.07","0.06","Sportswear","instore","Google Ads"
"f318a3de-ad06-11e9-a2fc-000d3a38a36f","2020-12-05","52","7.5","6.2","0.08","0.04526595502424","Shoes","mobile_app","Email Newsletter"
"9b6eb67e-75e6-11ea-b23f-000d3a38a36f","2020-11-26","51","10.4","4.7","0.36","0.06","Clothing","web","SMS Push"
"575164ec-a417-11e9-a2fc-000d3a38a36f","2021-05-20","2","4.8","7.2","0.13","0.07","Sportswear","web","Email Newsletter"
"32756a80-b022-11e9-9757-000d3a38a36f","2020-12-13","3","7.5","5.2","0.07","0.04","Accessories","mobile_app","Email Newsletter"
"71976318-2aa0-11eb-b280-000d3a38a36f","2021-04-17","46","5.3","11.7","0.05","0.033478890677088","Clothing","mobile_app","None"
"9c6ce7b0-5bee-11ea-bfa9-000d3a38a36f","2020-08-18","54","3","6.5","0.26","0.2","Shoes","mobile_app","Email Newsletter"
"16aebb98-d63e-11e9-93bc-000d3a38a36f","2020-07-08","25","7.9","2.8","0.27","0.04","Shoes","email","None"
"1f8c68a2-c565-11ea-9dde-000d3a38a36f","2020-08-12","36","7","6.4","0.14","0.10404979789136","Sportswear","mobile_app","None"
"ae557c64-5b29-11ea-b304-000d3a38a36f","2021-01-19","54","11.2","5.3","0.15","0.083250936902197","Accessories","mobile_app","Instagram Ads"
"b0708360-9768-11ea-a9c8-000d3a38a36f","2021-01-11","49","6.3","7.4","0.17","0.12","Sportswear","email","SMS Push"
"5952b580-5b3b-11ea-8569-000d3a38a36f","2020-10-09","28","8.8","6","0.17","0.14","Sportswear","mobile_app","None"
"83ae5204-ff19-11e9-a5e8-000d3a38a36f","2020-09-15","38","6.8","6.8","0.32","0.19","Shoes","web","Google Ads"
"6817921c-a96a-11e9-a2fc-000d3a38a36f","2020-12-24","28","5.1","11.4","0.38","0.19","Accessories","web","Google Ads"
"09893098-221e-11ea-8523-000d3a38a36f","2021-03-31","32","10.4","5.6","0.26","0.04","Bags","web","None"
"37753730-9b69-11ea-a27a-000d3a38a36f","2021-02-14","51","6.2","7.5","0.19","0.16037705993288","Accessories","web","SMS Push"
"6f11ab30-a932-11e9-a2fc-000d3a38a36f","2020-11-13","41","6.7","8.2","0.15","0.04","Accessories","mobile_app","Instagram Ads"
"8d58d24a-a792-11e9-a2fc-000d3a38a36f","2020-08-12","36","4.4","6.6","0.34","0.15","Shoes","email","Email Newsletter"
"8c62a1a0-00c4-11ea-a5e8-000d3a38a36f","2020-08-21","39","2.9","2.8","0.08","0.043038867886685","Accessories","web","SMS Push"
"e3506ca0-a218-11e9-a2fc-000d3a38a36f","2021-01-08","36","9.4","7.6","0.2","0.13369434563402","Shoes","mobile_app","Google Ads"
"b6305fbe-5b4f-11ea-bb88-000d3a38a36f","2021-04-16","43","7.7","2","0.28","0.04","Sportswear","mobile_app","Instagram Ads"
"d3fea560-aced-11ea-b736-000d3a38a36f","2020-08-20","54","10.8","9.4","0.14","0.12004506158666","Clothing","web","Email Newsletter"
"b5a2eea6-e74e-11e9-8bb8-000d3a38a36f","2020-04-22","23","9.5","3.4","0.1","0.066493742257514","Accessories","mobile_app","Instagram Ads"
"45efeeb0-5b2a-11ea-bae8-000d3a38a36f","2021-05-11","2","4.3","9.9","0.28","0.14","Bags","web","None"
"5bfa131c-ada5-11e9-a2fc-000d3a38a36f","2021-03-17","10","8","6.2","0.26","0.22","Shoes","web","SMS Push"
"e637e170-aea0-11e9-a2fc-000d3a38a36f","2020-09-24","6","7.9","7.7","0.27","0.22","Shoes","mobile_app","None"
"90e0b158-2b54-11ea-9d27-000d3a38a36f","2021-05-24","8","11","7","0.39","0.07","Bags","mobile_app","Instagram Ads"
"ecabc266-a7f6-11e9-a2fc-000d3a38a36f","2021-01-20","15","11.7","7.9","0.16","0.13115008717491","Sportswear","email","Email Newsletter"
"0117c094-63e8-11ea-a6dc-000d3a38a36f","2021-01-21","45","2.8","2.1","0.4","0.17","Clothing","mobile_app","Instagram Ads"
"35f216d0-5bef-11ea-a0d1-000d3a38a36f","2020-04-22","29","11.3","4.7","0.07","0.059456595562044","Clothing","web","Google Ads"
"eb9baf18-a368-11e9-a2fc-000d3a38a36f","2020-03-21","28","10.9","6.8","0.06","0.030919306011336","Accessories","mobile_app","SMS Push"
"0c911658-1ceb-11ea-a490-000d3a38a36f","2020-04-22","22","5.6","6.1","0.35","0.1","Sportswear","instore","Instagram Ads"
"2b632570-4195-11ea-96d9-000d3a38a36f","2020-01-02","34","7.9","5.2","0.16","0.15","Sportswear","instore","Email Newsletter"
"46097e88-1cb5-11ea-a490-000d3a38a36f","2020-08-07","20","1.7","6.4","0.18","0.14960718295027","Shoes","web","Instagram Ads"
"f4f890ba-8627-11ea-be76-000d3a38a36f","2020-08-12","33","7.8","5.6","0.07","0.042503569591144","Accessories","web","Google Ads"
"c88819fa-d0fb-11ea-8b59-000d3a38a36f","2021-01-19","15","4.9","10.4","0.05","0.03","Bags","mobile_app","Instagram Ads"
"3d707d74-d667-11e9-93bc-000d3a38a36f","2021-02-06","7","9.6","8.7","0.27","0.14","Sportswear","email","None"
"b8ddf1a2-5b0b-11ea-bffe-000d3a38a36f","2020-05-09","24","9.2","9","0.23","0.14","Clothing","mobile_app","Instagram Ads"
"5c116b1a-5341-11ea-acd3-000d3a38a36f","2020-02-22","26","7.7","9.6","0.3","0.23","Sportswear","web","Instagram Ads"
"aa572c64-5efa-11ea-be5b-000d3a38a36f","2021-02-19","50","8.6","7","0.13","0.07","Shoes","web","SMS Push"
"5307c13a-f4e7-11e9-9346-000d3a38a36f","2020-09-03","10","5.6","4.1","0.35","0.05","Sportswear","web","Instagram Ads"
"a28e246a-5daf-11eb-8dbd-000d3a38a36f","2021-03-14","15","4.6","5.4","0.14","0.13","Bags","mobile_app","None"
"fef57ffa-aae6-11e9-a2fc-000d3a38a36f","2020-07-21","37","14.3","6.7","0.21","0.18","Clothing","mobile_app","Instagram Ads"
"de6b47a4-a065-11ea-9d0a-000d3a38a36f","2020-07-02","59","11.1","6.3","0.18","0.094775289530767","Accessories","web","SMS Push"
"97abdc4a-a5d2-11e9-a2fc-000d3a38a36f","2020-05-02","24","8.4","3.3","0.35","0.15","Accessories","web","Email Newsletter"
"9613613c-c9d0-11ea-a31e-000d3a38a36f","2021-02-04","11","7.4","6.7","0.34","0.18","Sportswear","web","None"
"c6b217b6-dfcf-11e9-957d-000d3a38a36f","2020-10-20","40","15.2","3.8","0.2","0.08","Shoes","email","SMS Push"
"ab52332e-a1af-11e9-a2fc-000d3a38a36f","2020-10-06","21","13","9.9","0.18","0.17","Accessories","web","Instagram Ads"
"267f4a64-5b4b-11ea-a909-000d3a38a36f","2020-07-16","40","7.1","7.6","0.32","0.07","Clothing","web","Instagram Ads"
"c25f2eea-265d-11ea-b9a0-000d3a38a36f","2021-05-25","38","5.1","5.6","0.12","0.095851771777434","Shoes","instore","Google Ads"
"a076af30-aacd-11e9-a2fc-000d3a38a36f","2020-05-23","15","8.2","6.1","0.38","0.02","Shoes","mobile_app","Email Newsletter"
"da229068-653b-11ea-bac7-000d3a38a36f","2020-07-19","15","6.9","9.5","0.16","0.09","Sportswear","mobile_app","SMS Push"
"a9f02aa8-5be6-11ea-8bd2-000d3a38a36f","2020-05-03","37","5.2","3","0.21","0.2","Shoes","instore","SMS Push"
"75aea3d4-a8fb-11ea-8479-000d3a38a36f","2020-07-05","45","12.1","5","0.33","0.03","Bags","mobile_app","None"
"737ef46a-18eb-11ea-9213-000d3a38a36f","2020-11-21","14","9.6","7.1","0.33","0.09","Bags","mobile_app","Google Ads"
"54df998e-5274-11ea-956d-000d3a38a36f","2021-04-08","43","6.8","1.9","0.29","0.05","Shoes","mobile_app","Instagram Ads"
"06ea4252-5b56-11ea-b15d-000d3a38a36f","2020-12-14","52","6.7","5.7","0.09","0.076647944265469","Sportswear","mobile_app","Instagram Ads"
"23c40308-9ea1-11e9-9897-000d3a38a36f","2021-02-06","21","8","5.1","0.13","0.11633242315022","Clothing","mobile_app","Google Ads"
"6e928d60-a3c3-11e9-a2fc-000d3a38a36f","2020-12-11","44","6.5","10.9","0.3","0.04","Bags","mobile_app","Instagram Ads"
"9108204a-1c62-11ea-a490-000d3a38a36f","2021-05-25","20","6.3","5.7","0.35","0.14","Accessories","web","None"
"a0f994ea-9d15-11eb-9c47-000d3a38a36f","2020-05-26","33","14.2","3.9","0.11","0.09005635780651","Clothing","mobile_app","Instagram Ads"
"19286990-2054-11ea-87bf-000d3a38a36f","2020-05-27","3","5.3","4.2","0.4","0.25","Shoes","mobile_app","Instagram Ads"
"d285739a-a3b5-11e9-a2fc-000d3a38a36f","2021-05-03","40","1.4","1","0.27","0.06","Shoes","web","Email Newsletter"
"4bb06236-9eea-11ea-80cd-000d3a38a36f","2020-12-03","23","10","9.4","0.34","0.03","Bags","instore","Email Newsletter"
"8221ba3c-7eeb-11ea-80af-000d3a38a36f","2021-04-17","44","11.3","6.2","0.32","0.07","Sportswear","mobile_app","SMS Push"
"e6494e3a-5baf-11ea-9f92-000d3a38a36f","2020-05-30","47","8.5","5.7","0.09","0.067599024254185","Sportswear","mobile_app","Instagram Ads"
"fac3db2c-9d1f-11e9-9897-000d3a38a36f","2021-02-18","23","3.2","7.9","0.17","0.16","Clothing","web","Google Ads"
"7c088fe8-f29d-11e9-9346-000d3a38a36f","2020-10-24","27","7.6","7.1","0.21","0.1","Bags","web","Instagram Ads"
"6561d954-1a69-11ea-941b-000d3a38a36f","2020-09-19","35","6.5","6","0.14","0.11","Accessories","mobile_app","SMS Push"
"ce4dc94e-af68-11e9-a2fc-000d3a38a36f","2020-05-23","25","12","4","0.29","0.14","Shoes","mobile_app","Google Ads"
"aa396692-9ddb-11e9-9897-000d3a38a36f","2020-12-11","32","5.5","4.9","0.25","0.05","Bags","web","Instagram Ads"
"ec3a1cd4-a511-11e9-a2fc-000d3a38a36f","2020-01-02","22","8.7","6.2","0.39","0.24","Accessories","mobile_app","Google Ads"
"9f434f28-744a-11ea-92d0-000d3a38a36f","2020-10-30","8","9.8","7.3","0.11","0.093720863593042","Shoes","instore","Google Ads"
"04ad6d4e-2819-11eb-8a9b-000d3a38a36f","2020-09-10","56","5.4","3.3","0.25","0.14","Sportswear","mobile_app","Google Ads"
"254ff53e-1335-11ea-a001-000d3a38a36f","2021-03-28","51","6.2","5.8","0.37","0.19","Clothing","mobile_app","Instagram Ads"
"047f33ca-4ddb-11ea-9655-000d3a38a36f","2020-02-06","52","9.3","8.6","0.06","0.03","Accessories","instore","None"
